"Rank","Name","GM","W-L","FT","FTA"
"290","Bethune-Cookman","32","14-18","411","597"
"","Lehigh","32","17-15","411","565"
"292","North Dakota St.","32","20-12","410","604"
"","Montana St.","31","14-17","410","598"
"294","SMU","30","25-5","409","584"
"295","Denver","31","16-15","408","530"
"296","Florida A&M","29","8-21","407","691"
"297","Drake","31","7-24","406","562"
"","Louisville","31","23-8","406","588"
"299","Michigan","34","22-12","404","548"
"","South Fla.","33","8-25","404","612"
"301","Maine","30","8-22","401","611"
"302","Princeton","28","22-6","398","564"
"","Binghamton","30","8-22","398","584"
"","Mississippi St.","31","14-17","398","549"
"305","Elon","32","16-16","396","599"
"306","Fordham","30","17-13","394","577"
"307","Washington St.","31","9-22","393","552"
"","Illinois St.","32","18-14","393","588"
"309","Southeast Mo. St.","29","5-24","392","612"
"310","Loyola Marymount","31","14-17","389","536"
"311","Pacific","28","8-20","388","575"
"312","Southern Miss.","29","8-21","385","540"
"","Eastern Ill.","30","13-17","385","588"
"314","Chicago St.","32","4-28","384","573"
"315","Saint Peter's","30","14-16","383","582"
"316","Lafayette","30","6-24","381","551"
"317","Seattle","30","14-16","378","567"
"","Col. of Charleston","31","17-14","378","567"
"319","UNCG","32","14-18","377","553"
"","USC Upstate","32","10-22","377","592"
"321","San Diego","30","9-21","370","559"
"322","Cleveland St.","32","9-23","365","538"
"323","Western Ill.","27","10-17","362","502"
"","Temple","32","21-11","362","529"
"325","VMI","30","9-21","360","498"
"","Central Conn. St.","29","4-25","360","530"
"327","Iowa St.","32","21-11","358","507"
"328","UC Davis","30","11-19","356","557"
"329","St. Mary's (CA)","32","27-5","355","509"
"330","Cornell","28","10-18","353","542"
"331","Northwestern","32","20-12","352","528"
"","Radford","31","16-15","352","541"
"333","UTRGV","30","8-22","349","520"
"334","UC Santa Barbara","31","18-13","348","493"
"","La Salle","31","9-22","348","520"
"336","Quinnipiac","30","9-21","344","532"
"337","Penn","28","11-17","341","508"
"338","Colgate","30","13-17","332","488"
"339","Delaware St.","32","7-25","330","536"
"340","American","31","12-19","328","471"
"341","Charleston So.","30","9-21","318","512"
"342","Ark.-Pine Bluff","33","8-25","317","519"
"343","Harvard","30","14-16","313","525"
"344","Liberty","32","13-19","311","434"
"345","Bryant","31","8-23","310","482"
"346","Boston College","32","7-25","294","452"
"NR","Grand Canyon","32","26-6","557","803"
"NR","Incarnate Word","29","17-12","475","620"
"NR","Abilene Christian","31","13-18","458","653"
"NR","UMass Lowell","29","11-18","381","556"
"NR","Northern Ky.","30","9-21","372","545"
