"Rank","Name","GM","W-L","Fouls"
"","Omaha","31","18-13","627"
"208","Eastern Wash.","32","17-15","628"
"","UC Irvine","34","25-9","628"
"210","Lipscomb","33","12-21","629"
"211","Sacramento St.","31","14-17","631"
"","Loyola Marymount","31","14-17","631"
"","Houston Baptist","33","17-16","631"
"","Fla. Atlantic","33","8-25","631"
"215","Western Mich.","32","13-19","633"
"216","Virginia Tech","33","19-14","634"
"217","N.C. Central","32","13-19","635"
"","Howard","32","12-20","635"
"","Delaware St.","32","7-25","635"
"220","South Dakota St.","32","25-7","636"
"","Ole Miss","32","20-12","636"
"","Baylor","33","22-11","636"
"223","Oklahoma St.","32","12-20","637"
"","Missouri","31","10-21","637"
"","FGCU","33","20-13","637"
"","Pacific","28","8-20","637"
"227","New Orleans","30","10-20","638"
"","Duquesne","32","16-16","638"
"","Marshall","33","17-16","638"
"","Liberty","32","13-19","638"
"","Hampton","31","21-10","638"
"232","Maine","30","8-22","639"
"233","San Diego","30","9-21","640"
"","UMBC","32","7-25","640"
"","Valparaiso","32","26-6","640"
"236","UNCG","32","14-18","641"
"","Kansas","34","30-4","641"
"","Bucknell","30","17-13","641"
"239","Ill.-Chicago","30","5-25","642"
"","Old Dominion","35","22-13","642"
"241","Canisius","33","14-19","644"
"242","Saint Louis","32","11-21","646"
"","Xavier","32","27-5","646"
"","Wichita St.","32","24-8","646"
"","South Carolina","32","24-8","646"
"246","Florida","33","19-14","647"
"","Penn St.","32","16-16","647"
"248","Navy","33","19-14","648"
"","Hawaii","32","27-5","648"
"","Alabama St.","31","14-17","648"
"251","Tulane","34","12-22","649"
"","Michigan St.","34","29-5","649"
"","Loyola Maryland","30","9-21","649"
"254","Wake Forest","31","11-20","650"
"255","IUPUI","32","13-19","651"
"256","LIU Brooklyn","31","16-15","652"
"","UMKC","31","12-19","652"
"258","Towson","32","20-12","653"
"259","Mississippi Val.","34","7-27","654"
"","Arizona St.","32","15-17","654"
"261","Bowling Green","34","16-18","655"
"","Mt. St. Mary's","33","14-19","655"
"","UC Riverside","33","14-19","655"
"264","South Carolina St.","34","19-15","656"
"265","Nebraska","34","16-18","657"
"266","Colorado St.","34","18-16","658"
"267","Kansas St.","33","17-16","659"
"","Vermont","34","21-13","659"
"","New Mexico","32","17-15","659"
"270","Auburn","31","11-20","660"
"","Southern U.","34","22-12","660"
"","SFA","32","27-5","660"
"273","South Dakota","32","14-18","662"
"","Tennessee","34","15-19","662"
"275","Texas","32","20-12","664"
"276","Eastern Ky.","31","15-16","665"
"","South Ala.","33","14-19","665"
"","VCU","34","24-10","665"
"279","Coppin St.","31","9-22","666"
"280","Appalachian St.","31","9-22","667"
"","Gardner-Webb","33","17-16","667"
"","Northern Ill.","33","21-12","667"
"283","Massachusetts","32","14-18","668"
"284","Georgia","32","19-13","670"
"","Cleveland St.","32","9-23","670"
"286","Manhattan","31","13-18","672"
"287","UTEP","33","19-14","673"
"288","North Dakota","32","17-15","674"
"","Middle Tenn.","33","24-9","674"
"290","Eastern Mich.","33","18-15","675"
"291","TCU","33","12-21","677"
"","Drexel","31","6-25","677"
"","Western Caro.","33","16-17","677"
"294","Memphis","34","19-15","681"
"295","A&M-Corpus Christi","32","25-7","682"
"","California","33","23-10","682"
"297","Montana St.","31","14-17","683"
"","St. John's (NY)","32","8-24","683"
"299","Nevada","32","19-13","685"
"300","Southern Ill.","32","22-10","686"
"","North Texas","32","12-20","686"
"","DePaul","31","9-22","686"
"303","ETSU","34","23-11","687"
"","Arkansas","32","16-16","687"
"","CSU Bakersfield","32","24-8","687"
"","San Jose St.","31","9-22","687"
"307","Indiana St.","32","15-17","688"
"","Southeastern La.","33","12-21","688"
"309","Nicholls St.","34","11-23","689"
"310","UT Arlington","33","23-10","691"
"","Samford","33","14-19","691"
"","Ga. Southern","31","14-17","691"
"","Prairie View","31","7-24","691"
"314","UMES","32","10-22","692"
"315","Montana","32","21-11","693"
"316","Long Beach St.","34","20-14","695"
"","Fairleigh Dickinson","32","18-14","695"
"318","Kentucky","34","26-8","696"
"319","Siena","33","21-12","697"
"","Chicago St.","32","4-28","697"
"","Portland","32","12-20","697"
"322","Wagner","32","22-10","698"
"323","Lamar","30","11-19","699"
"324","UNLV","33","18-15","701"
"","Green Bay","35","23-12","701"
"326","Hartford","33","10-23","703"
"","Norfolk St.","33","17-16","703"
"328","Northern Colo.","31","10-21","704"
"","UTSA","32","5-27","704"
"330","Detroit","31","16-15","708"
"331","Morehead St.","31","19-12","710"
"332","Idaho","33","21-12","713"
"333","N.C. A&T","32","10-22","718"
"334","Monmouth","34","27-7","721"
