"Rank","Name","GM","W-L","3FG","3FGA","3FG%"
"181","Santa Clara","31","11-20","232","674","34.4"
"182","CSU Bakersfield","32","24-8","174","506","34.4"
"183","Villanova","34","29-5","291","847","34.4"
"184","Radford","31","16-15","226","658","34.3"
"185","UT Martin","33","19-14","256","746","34.3"
"186","Southern Ill.","32","22-10","212","618","34.3"
"187","Alabama","32","18-14","251","732","34.3"
"188","DePaul","31","9-22","168","490","34.3"
"189","Jacksonville St.","31","8-23","243","709","34.3"
"190","Central Conn. St.","29","4-25","164","479","34.2"
"191","Elon","32","16-16","303","886","34.2"
"192","Fresno St.","34","25-9","212","620","34.2"
"193","Georgia St.","30","16-14","149","436","34.2"
"194","Marist","30","7-23","248","726","34.2"
"195","South Carolina St.","34","19-15","201","589","34.1"
"196","Gardner-Webb","33","17-16","276","809","34.1"
"197","Cornell","28","10-18","233","683","34.1"
"198","Texas Southern","32","18-14","219","642","34.1"
"199","Sam Houston St.","34","18-16","264","774","34.1"
"200","Canisius","33","14-19","285","836","34.1"
"","American","31","12-19","195","572","34.1"
"202","Quinnipiac","30","9-21","229","672","34.1"
"203","Dartmouth","28","10-18","156","458","34.1"
"204","Auburn","31","11-20","272","799","34.0"
"205","USC Upstate","32","10-22","218","641","34.0"
"206","La Salle","31","9-22","259","762","34.0"
"207","Ohio St.","33","20-13","208","612","34.0"
"208","North Dakota St.","32","20-12","210","618","34.0"
"209","Temple","32","21-11","251","739","34.0"
"210","Loyola Marymount","31","14-17","227","669","33.9"
"211","East Carolina","32","12-20","232","684","33.9"
"212","Marquette","33","20-13","194","572","33.9"
"213","Georgetown","33","15-18","261","770","33.9"
"214","Air Force","32","14-18","202","596","33.9"
"215","Texas","32","20-12","223","658","33.9"
"216","Maine","30","8-22","228","673","33.9"
"217","Northern Ariz.","30","5-25","220","650","33.8"
"218","A&M-Corpus Christi","32","25-7","206","609","33.8"
"219","Ole Miss","32","20-12","252","745","33.8"
"220","Sacramento St.","31","14-17","209","618","33.8"
"221","Ga. Southern","31","14-17","282","834","33.8"
"222","Fla. Atlantic","33","8-25","229","678","33.8"
"223","Buffalo","34","20-14","253","750","33.7"
"224","Illinois St.","32","18-14","238","706","33.7"
"225","Marshall","33","17-16","332","985","33.7"
"226","New Orleans","30","10-20","162","481","33.7"
"227","Army West Point","32","19-13","284","844","33.6"
"228","UNCW","32","25-7","219","651","33.6"
"229","Arizona St.","32","15-17","254","756","33.6"
"230","VMI","30","9-21","263","783","33.6"
"231","TCU","33","12-21","187","558","33.5"
"232","UTRGV","30","8-22","212","633","33.5"
"233","Mississippi St.","31","14-17","225","674","33.4"
"234","Washington","32","18-14","240","720","33.3"
"","IUPUI","32","13-19","183","549","33.3"
"236","Coppin St.","31","9-22","238","715","33.3"
"237","New Mexico St.","33","23-10","173","520","33.3"
"238","McNeese St.","29","9-20","205","617","33.2"
"239","Campbell","30","12-18","224","675","33.2"
"240","Cal St. Fullerton","30","10-20","193","582","33.2"
"241","UNLV","33","18-15","252","760","33.2"
"242","Omaha","31","18-13","187","564","33.2"
"243","Western Caro.","33","16-17","234","706","33.1"
"244","Louisiana Tech","32","23-9","226","682","33.1"
"245","UMBC","32","7-25","216","652","33.1"
"246","Boise St.","32","20-12","261","788","33.1"
"247","Alabama St.","31","14-17","215","650","33.1"
"248","Massachusetts","32","14-18","234","709","33.0"
"249","Pacific","28","8-20","190","576","33.0"
"250","North Texas","32","12-20","187","567","33.0"
"251","Wichita St.","32","24-8","234","710","33.0"
"252","Delaware St.","32","7-25","230","698","33.0"
"253","UMES","32","10-22","201","610","33.0"
"254","Tennessee St.","30","20-10","163","495","32.9"
"255","Wagner","32","22-10","190","577","32.9"
"256","Tulsa","31","20-11","216","656","32.9"
"257","Drexel","31","6-25","170","517","32.9"
"258","West Virginia","34","26-8","206","627","32.9"
"259","UT Arlington","33","23-10","294","896","32.8"
"260","Kent St.","32","19-13","185","564","32.8"
"261","Oklahoma St.","32","12-20","205","625","32.8"
"262","Saint Louis","32","11-21","199","607","32.8"
"263","LSU","33","19-14","203","620","32.7"
"264","Holy Cross","33","14-19","236","721","32.7"
"265","Tennessee","34","15-19","251","767","32.7"
"266","Saint Joseph's","34","27-7","238","728","32.7"
"267","Saint Peter's","30","14-16","183","560","32.7"
"268","Hawaii","32","27-5","230","704","32.7"
"269","St. John's (NY)","32","8-24","206","632","32.6"
"270","New Hampshire","31","19-12","201","617","32.6"
"271","Delaware","30","7-23","168","517","32.5"
"272","Texas St.","31","15-16","149","459","32.5"
"273","Memphis","34","19-15","206","635","32.4"
"274","UNC Asheville","33","22-11","190","586","32.4"
"275","Cleveland St.","32","9-23","174","537","32.4"
"276","Boston College","32","7-25","231","713","32.4"
"277","The Citadel","32","10-22","363","1123","32.3"
"278","Samford","33","14-19","177","548","32.3"
"279","Furman","33","18-15","237","734","32.3"
"280","South Ala.","33","14-19","213","660","32.3"
"281","Bryant","31","8-23","198","615","32.2"
"282","Towson","32","20-12","178","553","32.2"
"283","Portland St.","31","13-18","167","519","32.2"
"284","Providence","33","23-10","234","729","32.1"
"285","Albany (NY)","32","24-8","180","561","32.1"
"286","Rutgers","32","7-25","161","503","32.0"
"287","Stanford","30","15-15","172","538","32.0"
"288","Lamar","30","11-19","197","617","31.9"
"","San Diego St.","34","25-9","197","617","31.9"
"290","Rice","32","12-20","228","716","31.8"
"291","UTSA","32","5-27","220","691","31.8"
"292","UCF","30","12-18","207","651","31.8"
"293","Penn St.","32","16-16","211","665","31.7"
"294","Mt. St. Mary's","33","14-19","226","713","31.7"
"295","Bethune-Cookman","32","14-18","249","787","31.6"
"296","Rider","33","13-20","204","646","31.6"
"","Arkansas St.","31","11-20","180","570","31.6"
"","Missouri St.","32","13-19","168","532","31.6"
"299","Wake Forest","31","11-20","195","618","31.6"
"300","Savannah St.","31","16-15","196","623","31.5"
"301","N.C. A&T","32","10-22","199","633","31.4"
"302","North Carolina","34","28-6","183","583","31.4"
"303","Florida","33","19-14","229","734","31.2"
"304","Eastern Mich.","33","18-15","187","601","31.1"
"305","Sacred Heart","30","12-18","169","544","31.1"
"306","Jackson St.","35","20-15","237","765","31.0"
"307","Alcorn","30","15-15","175","565","31.0"
