"Rank","Name","GM","W-L","3FG","3PG"
"","Alabama","32","18-14","251","7.8"
"95","Jacksonville St.","31","8-23","243","7.8"
"96","Gonzaga","33","26-7","258","7.8"
"97","Bethune-Cookman","32","14-18","249","7.8"
"98","William & Mary","31","20-11","241","7.8"
"99","San Francisco","30","15-15","233","7.8"
"100","Sam Houston St.","34","18-16","264","7.8"
"101","UT Martin","33","19-14","256","7.8"
"102","Fordham","30","17-13","232","7.7"
"","Eastern Ill.","30","13-17","232","7.7"
"104","Clemson","31","17-14","238","7.7"
"","Coppin St.","31","9-22","238","7.7"
"106","Texas A&M","34","26-8","261","7.7"
"107","Maryland","33","25-8","252","7.6"
"","UC Riverside","33","14-19","252","7.6"
"","UNLV","33","18-15","252","7.6"
"110","Quinnipiac","30","9-21","229","7.6"
"111","Utah","34","26-8","259","7.6"
"","Chattanooga","34","29-5","259","7.6"
"","Purdue","34","26-8","259","7.6"
"114","UC Santa Barbara","31","18-13","236","7.6"
"115","Maine","30","8-22","228","7.6"
"116","Xavier","32","27-5","243","7.6"
"117","Denver","31","16-15","235","7.6"
"118","Colorado","33","22-11","250","7.6"
"119","Cincinnati","32","22-10","242","7.6"
"","Montana","32","21-11","242","7.6"
"121","Little Rock","33","29-4","249","7.5"
"122","Richmond","32","16-16","240","7.5"
"","St. Francis Brooklyn","32","15-17","240","7.5"
"","Washington","32","18-14","240","7.5"
"125","Manhattan","31","13-18","232","7.5"
"","Santa Clara","31","11-20","232","7.5"
"127","South Dakota St.","32","25-7","239","7.5"
"128","Campbell","30","12-18","224","7.5"
"129","Buffalo","34","20-14","253","7.4"
"130","Illinois St.","32","18-14","238","7.4"
"","UAB","32","26-6","238","7.4"
"132","Bucknell","30","17-13","223","7.4"
"133","Lehigh","32","17-15","237","7.4"
"134","Northwestern St.","28","8-20","207","7.4"
"135","Tennessee","34","15-19","251","7.4"
"136","Coastal Caro.","29","18-11","214","7.4"
"137","Notre Dame","32","21-11","235","7.3"
"138","Harvard","30","14-16","220","7.3"
"","Northern Ariz.","30","5-25","220","7.3"
"140","Loyola Marymount","31","14-17","227","7.3"
"141","Wright St.","35","22-13","256","7.3"
"142","Wichita St.","32","24-8","234","7.3"
"","Massachusetts","32","14-18","234","7.3"
"144","Southeastern La.","33","12-21","241","7.3"
"145","Radford","31","16-15","226","7.3"
"","Murray St.","31","17-14","226","7.3"
"147","Norfolk St.","33","17-16","240","7.3"
"148","Saint Francis (PA)","30","13-17","218","7.3"
"149","VCU","34","24-10","247","7.3"
"150","Mississippi St.","31","14-17","225","7.3"
"151","East Carolina","32","12-20","232","7.3"
"152","Boston College","32","7-25","231","7.2"
"153","Delaware St.","32","7-25","230","7.2"
"","Hawaii","32","27-5","230","7.2"
"","Fairleigh Dickinson","32","18-14","230","7.2"
"156","Furman","33","18-15","237","7.2"
"157","Holy Cross","33","14-19","236","7.2"
"158","Penn","28","11-17","200","7.1"
"159","Chicago St.","32","4-28","228","7.1"
"","Rice","32","12-20","228","7.1"
"161","Butler","31","21-10","220","7.1"
"162","Western Caro.","33","16-17","234","7.1"
"","Northern Ill.","33","21-12","234","7.1"
"","Providence","33","23-10","234","7.1"
"165","McNeese St.","29","9-20","205","7.1"
"166","UTRGV","30","8-22","212","7.1"
"167","Louisiana Tech","32","23-9","226","7.1"
"168","California","33","23-10","233","7.1"
"169","Western Ill.","27","10-17","190","7.0"
"170","UConn","34","24-10","239","7.0"
"171","Green Bay","35","23-12","246","7.0"
"172","Saint Joseph's","34","27-7","238","7.0"
"173","Texas","32","20-12","223","7.0"
"174","Tulsa","31","20-11","216","7.0"
"175","Kentucky","34","26-8","236","6.9"
"176","George Washington","33","23-10","229","6.9"
"","Florida","33","19-14","229","6.9"
"","Fla. Atlantic","33","8-25","229","6.9"
"179","Alabama St.","31","14-17","215","6.9"
"","Drake","31","7-24","215","6.9"
"181","UCF","30","12-18","207","6.9"
"182","Southern Utah","29","5-24","200","6.9"
"183","Oregon","34","28-6","234","6.9"
"","Vermont","34","21-13","234","6.9"
"185","Longwood","33","10-23","227","6.9"
"186","UTSA","32","5-27","220","6.9"
"187","Houston","31","22-9","213","6.9"
"","UMKC","31","12-19","213","6.9"
"189","Western Ky.","34","18-16","233","6.9"
"190","Mt. St. Mary's","33","14-19","226","6.8"
"191","Miami (FL)","32","25-7","219","6.8"
"","UNCW","32","25-7","219","6.8"
"","Texas Southern","32","18-14","219","6.8"
"194","San Jose St.","31","9-22","212","6.8"
"195","USC Upstate","32","10-22","218","6.8"
"196","Oregon St.","31","19-12","211","6.8"
"197","Pacific","28","8-20","190","6.8"
"198","Stony Brook","32","26-6","217","6.8"
"199","Jackson St.","35","20-15","237","6.8"
"200","UTEP","33","19-14","223","6.8"
"201","Arkansas","32","16-16","216","6.8"
"","UMBC","32","7-25","216","6.8"
"203","Sacramento St.","31","14-17","209","6.7"
"204","Dayton","32","25-7","215","6.7"
"205","Troy","31","9-22","208","6.7"
"206","Florida St.","32","19-13","214","6.7"
"207","La.-Monroe","33","20-13","220","6.7"
