"Rank","Name","GM","W-L","3FG","3FGA"
"","St. John's (NY)","32","8-24","206","632"
"196","Austin Peay","35","18-17","219","630"
"197","West Virginia","34","26-8","206","627"
"198","Oklahoma St.","32","12-20","205","625"
"199","Savannah St.","31","16-15","196","623"
"200","George Washington","33","23-10","229","622"
"201","Murray St.","31","17-14","226","621"
"202","LSU","33","19-14","203","620"
"","Coastal Caro.","29","18-11","214","620"
"","Fresno St.","34","25-9","212","620"
"","Dayton","32","25-7","215","620"
"206","Wake Forest","31","11-20","195","618"
"","UTEP","33","19-14","223","618"
"","Southern Ill.","32","22-10","212","618"
"","North Dakota St.","32","20-12","210","618"
"","La.-Monroe","33","20-13","220","618"
"","Sacramento St.","31","14-17","209","618"
"212","San Diego St.","34","25-9","197","617"
"","Florida St.","32","19-13","214","617"
"","Lamar","30","11-19","197","617"
"","McNeese St.","29","9-20","205","617"
"","Minnesota","31","8-23","191","617"
"","New Hampshire","31","19-12","201","617"
"218","Bryant","31","8-23","198","615"
"219","Denver","31","16-15","235","613"
"220","Ohio St.","33","20-13","208","612"
"221","UMES","32","10-22","201","610"
"222","A&M-Corpus Christi","32","25-7","206","609"
"223","Bucknell","30","17-13","223","608"
"224","Saint Francis (PA)","30","13-17","218","607"
"","Saint Louis","32","11-21","199","607"
"226","Houston","31","22-9","213","605"
"227","Vermont","34","21-13","234","604"
"","Lehigh","32","17-15","237","604"
"229","LIU Brooklyn","31","16-15","179","603"
"230","Eastern Mich.","33","18-15","187","601"
"231","Alabama A&M","29","11-18","175","600"
"232","Binghamton","30","8-22","171","599"
"","Miami (FL)","32","25-7","219","599"
"234","Air Force","32","14-18","202","596"
"","Col. of Charleston","31","17-14","206","596"
"236","North Carolina St.","33","16-17","207","595"
"237","Bradley","32","5-27","165","590"
"","Mercer","33","19-14","206","590"
"","Southern U.","34","22-12","208","590"
"","Wisconsin","32","20-12","211","590"
"241","George Mason","32","11-21","172","589"
"","Niagara","32","7-25","166","589"
"","South Carolina St.","34","19-15","201","589"
"244","UMKC","31","12-19","213","588"
"245","UNC Asheville","33","22-11","190","586"
"246","Stony Brook","32","26-6","217","584"
"","Rhode Island","32","17-15","213","584"
"248","Kansas St.","33","17-16","175","583"
"","North Carolina","34","28-6","183","583"
"250","Cal St. Fullerton","30","10-20","193","582"
"","Miami (OH)","33","13-20","178","582"
"252","Northwestern St.","28","8-20","207","578"
"","Pittsburgh","32","21-11","201","578"
"","Mississippi Val.","34","7-27","172","578"
"255","Wagner","32","22-10","190","577"
"256","Pacific","28","8-20","190","576"
"257","N.C. Central","32","13-19","200","575"
"258","South Carolina","32","24-8","202","574"
"259","Seton Hall","33","25-8","202","573"
"260","American","31","12-19","195","572"
"","Idaho","33","21-12","217","572"
"","Marquette","33","20-13","194","572"
"263","Arkansas St.","31","11-20","180","570"
"","Oregon St.","31","19-12","211","570"
"265","UC Irvine","34","25-9","211","569"
"","Western Mich.","32","13-19","197","569"
"","Butler","31","21-10","220","569"
"268","Harvard","30","14-16","220","568"
"269","Nevada","32","19-13","163","567"
"","North Texas","32","12-20","187","567"
"271","Siena","33","21-12","206","565"
"","South Dakota","32","14-18","201","565"
"","Alcorn","30","15-15","175","565"
"","Loyola Chicago","32","15-17","196","565"
"","Missouri","31","10-21","175","565"
"276","Kent St.","32","19-13","185","564"
"","Omaha","31","18-13","187","564"
"278","Bowling Green","34","16-18","203","563"
"279","Arizona","33","25-8","215","562"
"280","Albany (NY)","32","24-8","180","561"
"281","Saint Peter's","30","14-16","183","560"
"","Georgia","32","19-13","205","560"
"283","Drake","31","7-24","215","559"
"284","TCU","33","12-21","187","558"
"285","Baylor","33","22-11","204","556"
"286","Florida A&M","29","8-21","168","555"
"287","Towson","32","20-12","178","553"
"288","UCLA","32","15-17","200","551"
"289","Southern Utah","29","5-24","200","550"
"290","Georgia Tech","33","19-14","192","549"
"","IUPUI","32","13-19","183","549"
"","Northern Colo.","31","10-21","203","549"
"293","Samford","33","14-19","177","548"
"294","Arkansas","32","16-16","216","544"
"","Sacred Heart","30","12-18","169","544"
"296","Houston Baptist","33","17-16","196","542"
"297","New Mexico","32","17-15","196","540"
"298","Stanford","30","15-15","172","538"
"299","Cleveland St.","32","9-23","174","537"
"300","Louisville","31","23-8","186","536"
"","North Dakota","32","17-15","191","536"
"302","Virginia Tech","33","19-14","191","535"
"","Morgan St.","31","9-22","161","535"
"304","Grambling","30","7-23","147","534"
"305","Missouri St.","32","13-19","168","532"
"306","Washington St.","31","9-22","184","530"
"","Loyola Maryland","30","9-21","161","530"
"308","New Mexico St.","33","23-10","173","520"
"309","Portland St.","31","13-18","167","519"
"","SIUE","28","6-22","158","519"
"311","Drexel","31","6-25","170","517"
"","Texas Tech","31","19-12","178","517"
"","Delaware","30","7-23","168","517"
"314","Oral Roberts","31","14-17","194","514"
"315","Southeast Mo. St.","29","5-24","154","513"
"316","Seattle","30","14-16","182","510"
"317","Kennesaw St.","31","11-20","179","507"
"318","CSU Bakersfield","32","24-8","174","506"
"319","Rutgers","32","7-25","161","503"
"320","Presbyterian","31","11-20","148","502"
"321","FIU","32","13-19","181","499"
"322","Central Ark.","28","7-21","185","498"
"323","Morehead St.","31","19-12","186","496"
"324","Tennessee St.","30","20-10","163","495"
"325","FGCU","33","20-13","176","493"
"326","DePaul","31","9-22","168","490"
"","Western Ill.","27","10-17","190","490"
"328","Virginia","33","26-7","198","489"
"329","Howard","32","12-20","144","486"
"330","Yale","28","22-6","181","484"
"331","New Orleans","30","10-20","162","481"
"332","Central Conn. St.","29","4-25","164","479"
"333","Old Dominion","35","22-13","143","475"
"334","Navy","33","19-14","141","469"
"335","Prairie View","31","7-24","127","467"
"336","South Fla.","33","8-25","133","465"
"337","UC Davis","30","11-19","164","463"
"338","SMU","30","25-5","194","462"
"339","Texas St.","31","15-16","149","459"
"340","Dartmouth","28","10-18","156","458"
"341","High Point","31","21-10","175","457"
"342","Evansville","34","25-9","158","448"
"343","Pepperdine","31","18-13","154","446"
"344","Ill.-Chicago","30","5-25","133","440"
"345","Georgia St.","30","16-14","149","436"
"346","CSUN","30","10-20","126","425"
"NR","UMass Lowell","29","11-18","240","659"
"NR","Northern Ky.","30","9-21","234","656"
"NR","Incarnate Word","29","17-12","234","621"
"NR","Abilene Christian","31","13-18","209","570"
"NR","Grand Canyon","32","26-6","200","541"
