"Rank","Name","GM","W-L","BLKS"
"68","Georgia Tech","33","19-14","139"
"","Kansas","34","30-4","139"
"","South Carolina","32","24-8","139"
"71","Louisiana Tech","32","23-9","138"
"","Duke","33","23-10","138"
"","Washington St.","31","9-22","138"
"","Wake Forest","31","11-20","138"
"","Radford","31","16-15","138"
"76","SMU","30","25-5","137"
"","Marquette","33","20-13","137"
"78","Arkansas St.","31","11-20","136"
"79","Fresno St.","34","25-9","135"
"","Iowa St.","32","21-11","135"
"","Houston Baptist","33","17-16","135"
"82","Mississippi St.","31","14-17","133"
"","Oral Roberts","31","14-17","133"
"","Detroit","31","16-15","133"
"","Baylor","33","22-11","133"
"","Akron","34","26-8","133"
"87","Florida St.","32","19-13","132"
"","Oklahoma St.","32","12-20","132"
"","Fairfield","32","19-13","132"
"","FGCU","33","20-13","132"
"","South Ala.","33","14-19","132"
"","William & Mary","31","20-11","132"
"","Iona","32","22-10","132"
"94","Tulane","34","12-22","131"
"","Wagner","32","22-10","131"
"96","Sacramento St.","31","14-17","130"
"","Missouri St.","32","13-19","130"
"","Syracuse","32","19-13","130"
"","New Mexico","32","17-15","130"
"","VCU","34","24-10","130"
"","Texas Tech","31","19-12","130"
"102","Jackson St.","35","20-15","128"
"","St. Bonaventure","30","22-8","128"
"","Portland","32","12-20","128"
"","Yale","28","22-6","128"
"","Texas A&M","34","26-8","128"
"107","Robert Morris","32","10-22","127"
"","ETSU","34","23-11","127"
"","Indiana","32","25-7","127"
"110","Auburn","31","11-20","126"
"","McNeese St.","29","9-20","126"
"","TCU","33","12-21","126"
"","VMI","30","9-21","126"
"114","Navy","33","19-14","125"
"","Notre Dame","32","21-11","125"
"116","Rider","33","13-20","124"
"","Ark.-Pine Bluff","33","8-25","124"
"118","Boston U.","32","18-14","123"
"","Buffalo","34","20-14","123"
"","Eastern Mich.","33","18-15","123"
"121","Eastern Wash.","32","17-15","122"
"","Monmouth","34","27-7","122"
"123","Duquesne","32","16-16","121"
"","Northwestern","32","20-12","121"
"125","Ball St.","32","19-13","120"
"","San Jose St.","31","9-22","120"
"","Hawaii","32","27-5","120"
"","Houston","31","22-9","120"
"","Southern U.","34","22-12","120"
"130","Mt. St. Mary's","33","14-19","119"
"","George Mason","32","11-21","119"
"","Providence","33","23-10","119"
"","Weber St.","34","26-8","119"
"134","San Diego","30","9-21","118"
"","Pittsburgh","32","21-11","118"
"","Wichita St.","32","24-8","118"
"","Ohio","32","21-11","118"
"","Army West Point","32","19-13","118"
"139","Hampton","31","21-10","117"
"","Tennessee Tech","30","19-11","117"
"141","UTEP","33","19-14","116"
"","Villanova","34","29-5","116"
"","Lamar","30","11-19","116"
"","Miami (FL)","32","25-7","116"
"","Middle Tenn.","33","24-9","116"
"","Fordham","30","17-13","116"
"147","Saint Joseph's","34","27-7","115"
"","Illinois St.","32","18-14","115"
"149","SFA","32","27-5","114"
"","La.-Lafayette","31","17-14","114"
"","Northern Ill.","33","21-12","114"
"","Brown","28","8-20","114"
"153","South Dakota","32","14-18","113"
"","Samford","33","14-19","113"
"","Rutgers","32","7-25","113"
"","Alabama St.","31","14-17","113"
"","Gardner-Webb","33","17-16","113"
"","Minnesota","31","8-23","113"
"","Massachusetts","32","14-18","113"
"","Bowling Green","34","16-18","113"
"","North Dakota St.","32","20-12","113"
"","Virginia Tech","33","19-14","113"
"","Oakland","32","21-11","113"
"164","SIUE","28","6-22","112"
"","Nebraska","34","16-18","112"
"","Portland St.","31","13-18","112"
"167","Alcorn","30","15-15","111"
"","St. Mary's (CA)","32","27-5","111"
"169","Kent St.","32","19-13","110"
"","George Washington","33","23-10","110"
"","UCLA","32","15-17","110"
"","La.-Monroe","33","20-13","110"
"","UNC Asheville","33","22-11","110"
"174","Western Caro.","33","16-17","109"
"","Northeastern","33","18-15","109"
"176","IPFW","33","24-9","108"
"","Drexel","31","6-25","108"
"178","Central Conn. St.","29","4-25","107"
"","Hofstra","33","24-9","107"
"","Tennessee St.","30","20-10","107"
"181","Columbia","31","21-10","106"
"","The Citadel","32","10-22","106"
"","Cornell","28","10-18","106"
"","Furman","33","18-15","106"
"","USC Upstate","32","10-22","106"
"186","Little Rock","33","29-4","105"
"187","Central Ark.","28","7-21","104"
"","Oregon St.","31","19-12","104"
"","Butler","31","21-10","104"
"190","Lehigh","32","17-15","103"
"","Marshall","33","17-16","103"
"","Niagara","32","7-25","103"
"","Appalachian St.","31","9-22","103"
"194","Wisconsin","32","20-12","102"
"","Howard","32","12-20","102"
"","Loyola Maryland","30","9-21","102"
"197","Austin Peay","35","18-17","101"
"","UC Riverside","33","14-19","101"
"199","Creighton","32","18-14","100"
"","Davidson","32","20-12","100"
"","Ole Miss","32","20-12","100"
"","Princeton","28","22-6","100"
"","Temple","32","21-11","100"
"204","Kennesaw St.","31","11-20","99"
"205","Gonzaga","33","26-7","98"
"","North Texas","32","12-20","98"
"","Lipscomb","33","12-21","98"
"","Bucknell","30","17-13","98"
"","Xavier","32","27-5","98"
"","Chicago St.","32","4-28","98"
"","UMKC","31","12-19","98"
"212","James Madison","32","21-11","97"
"","Virginia","33","26-7","97"
"214","CSUN","30","10-20","96"
"","Texas St.","31","15-16","96"
"","Jacksonville St.","31","8-23","96"
"217","Saint Francis (PA)","30","13-17","95"
"","UC Santa Barbara","31","18-13","95"
"","Cal Poly","30","10-20","95"
"","Utah Valley","30","12-18","95"
"","Eastern Ky.","31","15-16","95"
"","DePaul","31","9-22","95"
"223","Stanford","30","15-15","94"
"","South Carolina St.","34","19-15","94"
"","High Point","31","21-10","94"
"","Omaha","31","18-13","94"
"","Texas Southern","32","18-14","94"
"228","Boston College","32","7-25","93"
"","Delaware St.","32","7-25","93"
"230","La Salle","31","9-22","92"
"231","Coastal Caro.","29","18-11","91"
"","Kansas St.","33","17-16","91"
"","Georgia St.","30","16-14","91"
"","UT Arlington","33","23-10","91"
"","Longwood","33","10-23","91"
"","UTRGV","30","8-22","91"
"","Coppin St.","31","9-22","91"
"238","Northwestern St.","28","8-20","90"
"","North Dakota","32","17-15","90"
"","Maine","30","8-22","90"
"","Loyola Chicago","32","15-17","90"
"","LSU","33","19-14","90"
"","Idaho St.","31","16-15","90"
"","Loyola Marymount","31","14-17","90"
"245","Western Ill.","27","10-17","89"
"","Rice","32","12-20","89"
"","Southeastern La.","33","12-21","89"
"248","Idaho","33","21-12","88"
"","UNI","34","22-12","88"
"","San Francisco","30","15-15","88"
"","Troy","31","9-22","88"
"","Bradley","32","5-27","88"
"","Canisius","33","14-19","88"
"254","Cleveland St.","32","9-23","87"
"","Central Mich.","32","17-15","87"
"","Long Beach St.","34","20-14","87"
"","Pepperdine","31","18-13","87"
"","Delaware","30","7-23","87"
"","LIU Brooklyn","31","16-15","87"
"260","Arizona St.","32","15-17","86"
"","Fairleigh Dickinson","32","18-14","86"
"","Indiana St.","32","15-17","86"
"","West Virginia","34","26-8","86"
"","Milwaukee","33","20-13","86"
"265","Saint Peter's","30","14-16","85"
"","Jacksonville","32","16-16","85"
"267","Mercer","33","19-14","84"
"","Prairie View","31","7-24","84"
"269","Bryant","31","8-23","83"
"","Tulsa","31","20-11","83"
"","Santa Clara","31","11-20","83"
"","Holy Cross","33","14-19","83"
"273","Wyoming","31","13-18","82"
"","Stetson","34","12-22","82"
"275","Marist","30","7-23","81"
"","Missouri","31","10-21","81"
"","IUPUI","32","13-19","81"
"","Savannah St.","31","16-15","81"
"","Utah St.","31","16-15","81"
"","Montana","32","21-11","81"
