"Rank","Name","GM","Opp TO","Avg"
"327","Colorado St.","34","357","10.50"
"328","Utah","34","355","10.44"
"329","Central Conn. St.","29","300","10.34"
"330","Ohio","32","331","10.34"
"331","North Carolina St.","33","341","10.33"
"","Gonzaga","33","341","10.33"
"333","UTRGV","30","307","10.23"
"334","Georgia Tech","33","329","9.97"
"335","FIU","32","319","9.97"
"","Vanderbilt","32","319","9.97"
"337","Drake","31","302","9.74"
"338","California","33","321","9.73"
"339","St. Mary's (CA)","32","311","9.72"
"","Notre Dame","32","311","9.72"
"341","South Fla.","33","316","9.58"
"342","Michigan St.","34","325","9.56"
"343","Purdue","34","320","9.41"
"344","UCF","30","278","9.27"
"345","Delaware","30","275","9.17"
"346","George Mason","32","223","6.97"
"NR","Abilene Christian","31","448","14.45"
"NR","UMass Lowell","29","418","14.41"
"NR","Grand Canyon","32","437","13.66"
"NR","Incarnate Word","29","390","13.45"
"NR","Northern Ky.","30","348","11.60"
