"Rank","Name","GM","W-L","FT","FTA"
"277","North Dakota St.","32","20-12","410","604"
"278","Dartmouth","28","10-18","436","603"
"279","Mt. St. Mary's","33","14-19","416","601"
"280","Central Mich.","32","17-15","431","600"
"","Brown","28","8-20","421","600"
"282","Elon","32","16-16","396","599"
"283","Montana St.","31","14-17","410","598"
"","Southern Utah","29","5-24","426","598"
"","Georgia St.","30","16-14","412","598"
"286","Bethune-Cookman","32","14-18","411","597"
"","Utah St.","31","16-15","413","597"
"288","South Dakota","32","14-18","418","596"
"289","USC Upstate","32","10-22","377","592"
"","Santa Clara","31","11-20","425","592"
"291","Louisville","31","23-8","406","588"
"","Illinois St.","32","18-14","393","588"
"","Eastern Ill.","30","13-17","385","588"
"294","SIUE","28","6-22","413","587"
"295","Binghamton","30","8-22","398","584"
"","SMU","30","25-5","409","584"
"297","Saint Peter's","30","14-16","383","582"
"298","UConn","34","24-10","457","581"
"299","Fordham","30","17-13","394","577"
"300","Pacific","28","8-20","388","575"
"301","UNI","34","22-12","432","574"
"","Clemson","31","17-14","415","574"
"303","Chicago St.","32","4-28","384","573"
"304","Little Rock","33","29-4","420","572"
"305","Jacksonville St.","31","8-23","415","567"
"","Col. of Charleston","31","17-14","378","567"
"","Seattle","30","14-16","378","567"
"308","Loyola Chicago","32","15-17","413","565"
"","Lehigh","32","17-15","411","565"
"","Virginia","33","26-7","426","565"
"311","Princeton","28","22-6","398","564"
"312","Drake","31","7-24","406","562"
"313","San Diego","30","9-21","370","559"
"314","UC Davis","30","11-19","356","557"
"315","UNCG","32","14-18","377","553"
"316","Washington St.","31","9-22","393","552"
"317","Lafayette","30","6-24","381","551"
"318","Mississippi St.","31","14-17","398","549"
"319","Michigan","34","22-12","404","548"
"320","Cornell","28","10-18","353","542"
"321","Radford","31","16-15","352","541"
"322","Southern Miss.","29","8-21","385","540"
"323","Cleveland St.","32","9-23","365","538"
"324","Loyola Marymount","31","14-17","389","536"
"","Delaware St.","32","7-25","330","536"
"326","Quinnipiac","30","9-21","344","532"
"327","Central Conn. St.","29","4-25","360","530"
"","Denver","31","16-15","408","530"
"329","Temple","32","21-11","362","529"
"330","Northwestern","32","20-12","352","528"
"331","Harvard","30","14-16","313","525"
"332","La Salle","31","9-22","348","520"
"","UTRGV","30","8-22","349","520"
"334","Ark.-Pine Bluff","33","8-25","317","519"
"335","Charleston So.","30","9-21","318","512"
"336","St. Mary's (CA)","32","27-5","355","509"
"337","Penn","28","11-17","341","508"
"338","Iowa St.","32","21-11","358","507"
"339","Western Ill.","27","10-17","362","502"
"340","VMI","30","9-21","360","498"
"341","UC Santa Barbara","31","18-13","348","493"
"342","Colgate","30","13-17","332","488"
"343","Bryant","31","8-23","310","482"
"344","American","31","12-19","328","471"
"345","Boston College","32","7-25","294","452"
"346","Liberty","32","13-19","311","434"
"NR","Grand Canyon","32","26-6","557","803"
"NR","Abilene Christian","31","13-18","458","653"
"NR","Incarnate Word","29","17-12","475","620"
"NR","UMass Lowell","29","11-18","381","556"
"NR","Northern Ky.","30","9-21","372","545"
