"Rank","Name","GM","W-L","ORebs","DRebs","REB"
"254","Bradley","32","5-27","276","806","1082"
"255","Youngstown St.","32","11-21","283","797","1080"
"256","Northern Colo.","31","10-21","328","751","1079"
"257","Idaho St.","31","16-15","284","794","1078"
"258","UMES","32","10-22","337","740","1077"
"","NJIT","31","17-14","299","778","1077"
"","South Dakota","32","14-18","289","788","1077"
"261","Illinois","34","15-19","258","818","1076"
"","Tennessee Tech","30","19-11","285","791","1076"
"263","Belmont","31","20-11","264","811","1075"
"","Fairleigh Dickinson","32","18-14","339","736","1075"
"265","Oregon St.","31","19-12","330","743","1073"
"266","Alcorn","30","15-15","384","688","1072"
"","Clemson","31","17-14","320","752","1072"
"268","Fla. Atlantic","33","8-25","282","789","1071"
"269","St. Bonaventure","30","22-8","330","739","1069"
"270","Minnesota","31","8-23","310","758","1068"
"271","Miami (OH)","33","13-20","326","741","1067"
"272","Texas St.","31","15-16","336","729","1065"
"273","Delaware St.","32","7-25","340","723","1063"
"274","Eastern Wash.","32","17-15","299","762","1061"
"","Cleveland St.","32","9-23","338","723","1061"
"276","DePaul","31","9-22","317","742","1059"
"","Texas Tech","31","19-12","320","739","1059"
"278","Maine","30","8-22","337","717","1054"
"","Loyola Maryland","30","9-21","334","720","1054"
"280","Charleston So.","30","9-21","308","745","1053"
"281","Rice","32","12-20","294","758","1052"
"","Virginia","33","26-7","296","756","1052"
"283","Central Conn. St.","29","4-25","335","715","1050"
"284","High Point","31","21-10","326","723","1049"
"","Washington St.","31","9-22","247","802","1049"
"286","Bryant","31","8-23","300","748","1048"
"287","Presbyterian","31","11-20","298","749","1047"
"","Loyola Marymount","31","14-17","349","698","1047"
"","Santa Clara","31","11-20","279","768","1047"
"290","McNeese St.","29","9-20","321","724","1045"
"","Saint Louis","32","11-21","230","815","1045"
"292","Central Ark.","28","7-21","331","713","1044"
"293","Drake","31","7-24","253","790","1043"
"294","Robert Morris","32","10-22","303","738","1041"
"295","Kennesaw St.","31","11-20","322","718","1040"
"296","UC Davis","30","11-19","256","778","1034"
"297","Princeton","28","22-6","279","754","1033"
"298","Fordham","30","17-13","310","720","1030"
"299","Stanford","30","15-15","328","696","1024"
"300","Southeast Mo. St.","29","5-24","326","697","1023"
"301","UNI","34","22-12","183","839","1022"
"","Mt. St. Mary's","33","14-19","318","704","1022"
"","Drexel","31","6-25","324","698","1022"
"304","Richmond","32","16-16","251","770","1021"
"","Binghamton","30","8-22","273","748","1021"
"306","Brown","28","8-20","272","747","1019"
"307","Murray St.","31","17-14","308","710","1018"
"308","UMBC","32","7-25","279","738","1017"
"309","Wofford","32","15-17","274","741","1015"
"310","Florida A&M","29","8-21","293","717","1010"
"311","Dartmouth","28","10-18","335","669","1004"
"","UTRGV","30","8-22","257","747","1004"
"","Ark.-Pine Bluff","33","8-25","322","682","1004"
"314","Eastern Ill.","30","13-17","299","703","1002"
"","Alabama A&M","29","11-18","330","672","1002"
"","Penn","28","11-17","287","715","1002"
"317","Northern Ariz.","30","5-25","260","741","1001"
"318","SIUE","28","6-22","339","660","999"
"","Eastern Ky.","31","15-16","274","725","999"
"320","Savannah St.","31","16-15","290","708","998"
"321","Boston College","32","7-25","243","754","997"
"","Prairie View","31","7-24","355","642","997"
"323","San Diego","30","9-21","289","706","995"
"324","VMI","30","9-21","290","704","994"
"","Jacksonville St.","31","8-23","315","679","994"
"","Holy Cross","33","14-19","269","725","994"
"327","Pacific","28","8-20","282","711","993"
"","Hartford","33","10-23","230","763","993"
"329","Grambling","30","7-23","270","714","984"
"330","Loyola Chicago","32","15-17","246","732","978"
"331","Marist","30","7-23","261","714","975"
"332","Campbell","30","12-18","242","725","967"
"333","La Salle","31","9-22","274","683","957"
"334","Lafayette","30","6-24","242","714","956"
"335","Colgate","30","13-17","280","670","950"
"336","Western Ill.","27","10-17","233","715","948"
"337","Liberty","32","13-19","214","729","943"
"","Wyoming","31","13-18","175","768","943"
"339","Georgia St.","30","16-14","243","682","925"
"340","Southern Miss.","29","8-21","228","692","920"
"341","Northwestern St.","28","8-20","286","633","919"
"342","Manhattan","31","13-18","242","674","916"
"343","Cornell","28","10-18","244","665","909"
"344","Southern Utah","29","5-24","238","640","878"
"345","American","31","12-19","218","656","874"
"346","Denver","31","16-15","168","613","781"
"NR","Grand Canyon","32","26-6","373","853","1226"
"NR","Northern Ky.","30","9-21","281","751","1032"
"NR","Abilene Christian","31","13-18","269","722","991"
"NR","Incarnate Word","29","17-12","232","742","974"
"NR","UMass Lowell","29","11-18","249","698","947"
