"Rank","Name","GM","W-L","OPP PTS","OPP PPG"
"168","Utah St.","31","16-15","2217","71.5"
"169","UCF","30","12-18","2147","71.6"
"170","Monmouth","34","27-7","2437","71.7"
"171","Morgan St.","31","9-22","2223","71.7"
"172","Wofford","32","15-17","2295","71.7"
"173","Pacific","28","8-20","2009","71.8"
"174","Georgetown","33","15-18","2370","71.8"
"175","Penn","28","11-17","2013","71.9"
"176","East Carolina","32","12-20","2301","71.9"
"177","Drake","31","7-24","2230","71.9"
"178","Niagara","32","7-25","2304","72.0"
"179","Saint Louis","32","11-21","2305","72.0"
"180","Duke","33","23-10","2378","72.1"
"181","Ole Miss","32","20-12","2306","72.1"
"182","Jacksonville St.","31","8-23","2234","72.1"
"183","Virginia Tech","33","19-14","2379","72.1"
"184","Louisiana Tech","32","23-9","2307","72.1"
"185","Alcorn","30","15-15","2164","72.1"
"186","Sacramento St.","31","14-17","2237","72.2"
"187","BYU","33","23-10","2382","72.2"
"188","UMKC","31","12-19","2240","72.3"
"","Wyoming","31","13-18","2240","72.3"
"190","Bowling Green","34","16-18","2457","72.3"
"191","George Mason","32","11-21","2313","72.3"
"192","Boston U.","32","18-14","2315","72.3"
"193","Long Beach St.","34","20-14","2461","72.4"
"194","Kent St.","32","19-13","2317","72.4"
"195","Milwaukee","33","20-13","2391","72.5"
"196","Radford","31","16-15","2248","72.5"
"197","Missouri St.","32","13-19","2321","72.5"
"198","Central Mich.","32","17-15","2325","72.7"
"199","Saint Francis (PA)","30","13-17","2181","72.7"
"200","Mississippi St.","31","14-17","2256","72.8"
"201","Bethune-Cookman","32","14-18","2330","72.8"
"","Air Force","32","14-18","2330","72.8"
"203","St. Bonaventure","30","22-8","2185","72.8"
"204","Presbyterian","31","11-20","2259","72.9"
"205","Missouri","31","10-21","2262","73.0"
"206","Norfolk St.","33","17-16","2408","73.0"
"","Siena","33","21-12","2408","73.0"
"208","Delaware St.","32","7-25","2336","73.0"
"209","Creighton","32","18-14","2337","73.0"
"210","Western Caro.","33","16-17","2411","73.1"
"211","La.-Lafayette","31","17-14","2265","73.1"
"212","South Carolina St.","34","19-15","2485","73.1"
"213","Manhattan","31","13-18","2268","73.2"
"214","Bucknell","30","17-13","2198","73.3"
"215","Santa Clara","31","11-20","2272","73.3"
"216","New Mexico","32","17-15","2348","73.4"
"217","Florida A&M","29","8-21","2128","73.4"
"218","Campbell","30","12-18","2203","73.4"
"219","Western Mich.","32","13-19","2352","73.5"
"220","South Ala.","33","14-19","2426","73.5"
"221","La Salle","31","9-22","2279","73.5"
"222","ETSU","34","23-11","2500","73.5"
"223","Hofstra","33","24-9","2427","73.5"
"","UNLV","33","18-15","2427","73.5"
"225","Iona","32","22-10","2357","73.7"
"","UNCG","32","14-18","2357","73.7"
"227","Eastern Ill.","30","13-17","2213","73.8"
"228","Florida St.","32","19-13","2361","73.8"
"229","IUPUI","32","13-19","2362","73.8"
"230","Hampton","31","21-10","2289","73.8"
"231","Richmond","32","16-16","2363","73.8"
"232","SIUE","28","6-22","2068","73.9"
"233","San Jose St.","31","9-22","2290","73.9"
"234","Arizona St.","32","15-17","2367","74.0"
"235","Minnesota","31","8-23","2294","74.0"
"","Samford","33","14-19","2442","74.0"
"237","Fla. Atlantic","33","8-25","2443","74.0"
"238","Marquette","33","20-13","2448","74.2"
"239","Cal St. Fullerton","30","10-20","2227","74.2"
"240","Gardner-Webb","33","17-16","2451","74.3"
"241","Ga. Southern","31","14-17","2307","74.4"
"242","North Carolina St.","33","16-17","2456","74.4"
"243","Alabama St.","31","14-17","2308","74.5"
"244","Ohio","32","21-11","2383","74.5"
"245","NJIT","31","17-14","2310","74.5"
"246","Eastern Mich.","33","18-15","2460","74.5"
"247","Arkansas","32","16-16","2390","74.7"
"248","Southern California","33","21-12","2467","74.8"
"249","Illinois","34","15-19","2542","74.8"
"250","Loyola Marymount","31","14-17","2319","74.8"
"251","Army West Point","32","19-13","2395","74.8"
"252","UTEP","33","19-14","2471","74.9"
"253","Iowa St.","32","21-11","2399","75.0"
"","UMES","32","10-22","2399","75.0"
"255","DePaul","31","9-22","2325","75.0"
"256","Charleston So.","30","9-21","2253","75.1"
"257","Troy","31","9-22","2329","75.1"
"258","Buffalo","34","20-14","2555","75.1"
"259","Cal Poly","30","10-20","2255","75.2"
"260","Tennessee","34","15-19","2556","75.2"
"261","Loyola Maryland","30","9-21","2260","75.3"
"262","CSUN","30","10-20","2261","75.4"
"263","Elon","32","16-16","2413","75.4"
"264","Southeastern La.","33","12-21","2489","75.4"
"265","VMI","30","9-21","2264","75.5"
"266","Tennessee Tech","30","19-11","2265","75.5"
"267","Delaware","30","7-23","2270","75.7"
"268","Massachusetts","32","14-18","2427","75.8"
"269","Longwood","33","10-23","2503","75.8"
"270","Austin Peay","35","18-17","2656","75.9"
"271","Arkansas St.","31","11-20","2353","75.9"
"272","Winthrop","32","23-9","2429","75.9"
"273","IPFW","33","24-9","2506","75.9"
"274","Jacksonville","32","16-16","2431","76.0"
"275","Howard","32","12-20","2433","76.0"
"","N.C. A&T","32","10-22","2433","76.0"
"277","Idaho St.","31","16-15","2357","76.0"
"278","Western Ky.","34","18-16","2586","76.1"
"279","Houston Baptist","33","17-16","2513","76.2"
"280","Bryant","31","8-23","2361","76.2"
"281","Nicholls St.","34","11-23","2598","76.4"
"282","UCLA","32","15-17","2455","76.7"
"283","Eastern Wash.","32","17-15","2460","76.9"
"284","Oral Roberts","31","14-17","2384","76.9"
"285","Brown","28","8-20","2155","77.0"
"286","LIU Brooklyn","31","16-15","2386","77.0"
"287","Lamar","30","11-19","2310","77.0"
"288","LSU","33","19-14","2543","77.1"
"289","Fairfield","32","19-13","2468","77.1"
"290","Washington St.","31","9-22","2394","77.2"
"291","Colorado St.","34","18-16","2626","77.2"
"292","St. John's (NY)","32","8-24","2472","77.3"
"293","Appalachian St.","31","9-22","2398","77.4"
"294","Mississippi Val.","34","7-27","2631","77.4"
"295","Kennesaw St.","31","11-20","2399","77.4"
"296","Chicago St.","32","4-28","2478","77.4"
"297","New Orleans","30","10-20","2325","77.5"
"298","Duquesne","32","16-16","2483","77.6"
"299","Southeast Mo. St.","29","5-24","2252","77.7"
"300","UTRGV","30","8-22","2330","77.7"
"301","Portland St.","31","13-18","2409","77.7"
"302","Montana St.","31","14-17","2411","77.8"
"303","Sacred Heart","30","12-18","2336","77.9"
"304","Davidson","32","20-12","2492","77.9"
"305","Belmont","31","20-11","2417","78.0"
"306","USC Upstate","32","10-22","2495","78.0"
"307","Auburn","31","11-20","2421","78.1"
"308","Ill.-Chicago","30","5-25","2346","78.2"
"309","Central Conn. St.","29","4-25","2268","78.2"
"310","Fairleigh Dickinson","32","18-14","2504","78.3"
"311","North Texas","32","12-20","2505","78.3"
"312","Cornell","28","10-18","2193","78.3"
"313","Canisius","33","14-19","2587","78.4"
"314","Hartford","33","10-23","2588","78.4"
"315","Utah Valley","30","12-18","2360","78.7"
"","Marist","30","7-23","2360","78.7"
"317","San Francisco","30","15-15","2362","78.7"
"318","Oakland","32","21-11","2525","78.9"
"319","North Florida","33","22-11","2607","79.0"
"320","Wake Forest","31","11-20","2450","79.0"
"321","Eastern Ky.","31","15-16","2453","79.1"
"322","South Dakota","32","14-18","2537","79.3"
"323","McNeese St.","29","9-20","2301","79.3"
