"Rank","Name","GM","W-L","TO"
"340","Idaho","33","21-12","494"
"341","Southeastern La.","33","12-21","504"
"342","UMES","32","10-22","512"
"343","Ark.-Pine Bluff","33","8-25","516"
"344","Siena","33","21-12","527"
"345","Nicholls St.","34","11-23","534"
"346","Bradley","32","5-27","548"
"NR","Incarnate Word","29","17-12","368"
"NR","Grand Canyon","32","26-6","390"
"NR","Northern Ky.","30","9-21","406"
"NR","Abilene Christian","31","13-18","418"
"NR","UMass Lowell","29","11-18","455"
