"Rank","Name","GM","W-L","FT","FTA","FT%"
"230","Kentucky","34","26-8","531","777","68.3"
"231","Mississippi Val.","34","7-27","436","638","68.3"
"232","Air Force","32","14-18","483","707","68.3"
"233","UMBC","32","7-25","515","754","68.3"
"234","Syracuse","32","19-13","435","637","68.3"
"235","Fordham","30","17-13","394","577","68.3"
"236","Kent St.","32","19-13","508","744","68.3"
"237","Rider","33","13-20","435","638","68.2"
"238","South Carolina","32","24-8","587","861","68.2"
"239","UNCG","32","14-18","377","553","68.2"
"240","North Dakota","32","17-15","499","732","68.2"
"241","Eastern Wash.","32","17-15","469","688","68.2"
"242","Binghamton","30","8-22","398","584","68.2"
"243","UNLV","33","18-15","555","815","68.1"
"244","Hawaii","32","27-5","567","833","68.1"
"245","Colgate","30","13-17","332","488","68.0"
"246","Rutgers","32","7-25","435","640","68.0"
"247","DePaul","31","9-22","420","618","68.0"
"248","Central Conn. St.","29","4-25","360","530","67.9"
"249","Towson","32","20-12","550","810","67.9"
"","Old Dominion","35","22-13","440","648","67.9"
"251","North Dakota St.","32","20-12","410","604","67.9"
"252","Cleveland St.","32","9-23","365","538","67.8"
"253","Southern California","33","21-12","500","737","67.8"
"254","Jacksonville","32","16-16","434","640","67.8"
"255","San Francisco","30","15-15","480","708","67.8"
"256","Tulsa","31","20-11","486","717","67.8"
"257","Alcorn","30","15-15","458","676","67.8"
"258","Weber St.","34","26-8","548","810","67.7"
"259","Tulane","34","12-22","420","621","67.6"
"260","Pepperdine","31","18-13","497","735","67.6"
"261","New Mexico St.","33","23-10","467","691","67.6"
"262","Cal Poly","30","10-20","423","626","67.6"
"263","Pacific","28","8-20","388","575","67.5"
"264","Missouri St.","32","13-19","481","713","67.5"
"265","UMKC","31","12-19","447","663","67.4"
"266","South Ala.","33","14-19","503","747","67.3"
"267","Texas St.","31","15-16","443","658","67.3"
"268","Texas A&M","34","26-8","508","755","67.3"
"269","Dayton","32","25-7","491","730","67.3"
"270","Ohio St.","33","20-13","456","679","67.2"
"271","Stony Brook","32","26-6","415","618","67.2"
"272","Sacramento St.","31","14-17","421","627","67.1"
"273","Penn","28","11-17","341","508","67.1"
"274","UTRGV","30","8-22","349","520","67.1"
"275","Oregon St.","31","19-12","451","672","67.1"
"276","Lamar","30","11-19","524","781","67.1"
"277","George Mason","32","11-21","436","650","67.1"
"278","TCU","33","12-21","554","826","67.1"
"279","Chicago St.","32","4-28","384","573","67.0"
"280","West Virginia","34","26-8","633","945","67.0"
"281","Austin Peay","35","18-17","602","899","67.0"
"282","La Salle","31","9-22","348","520","66.9"
"283","Rhode Island","32","17-15","443","662","66.9"
"284","Southern U.","34","22-12","497","743","66.9"
"285","Louisiana Tech","32","23-9","543","812","66.9"
"286","Illinois St.","32","18-14","393","588","66.8"
"287","Coastal Caro.","29","18-11","413","619","66.7"
"288","St. Francis Brooklyn","32","15-17","435","652","66.7"
"289","Robert Morris","32","10-22","422","633","66.7"
