"Rank","Name","GM","W-L","ST"
"","Coppin St.","31","9-22","174"
"","Northwestern St.","28","8-20","174"
"249","North Florida","33","22-11","173"
"","Idaho","33","21-12","173"
"","Delaware St.","32","7-25","173"
"","Coastal Caro.","29","18-11","173"
"253","Colorado","33","22-11","172"
"254","William & Mary","31","20-11","171"
"","Lafayette","30","6-24","171"
"","Temple","32","21-11","171"
"","McNeese St.","29","9-20","171"
"258","Utah St.","31","16-15","170"
"","Minnesota","31","8-23","170"
"","UC Riverside","33","14-19","170"
"","Arizona St.","32","15-17","170"
"","Rhode Island","32","17-15","170"
"263","Weber St.","34","26-8","169"
"","Kent St.","32","19-13","169"
"","Montana","32","21-11","169"
"","Missouri","31","10-21","169"
"267","Ill.-Chicago","30","5-25","168"
"","Hampton","31","21-10","168"
"269","Toledo","32","17-15","167"
"","Gonzaga","33","26-7","167"
"","Saint Peter's","30","14-16","167"
"","Mercer","33","19-14","167"
"273","Auburn","31","11-20","166"
"","Penn St.","32","16-16","166"
"275","Niagara","32","7-25","165"
"","Texas","32","20-12","165"
"277","Western Ill.","27","10-17","163"
"","Wofford","32","15-17","163"
"","Cal Poly","30","10-20","163"
"","Alabama A&M","29","11-18","163"
"","Southern Utah","29","5-24","163"
"282","Yale","28","22-6","162"
"","Loyola Maryland","30","9-21","162"
"","N.C. A&T","32","10-22","162"
"","FIU","32","13-19","162"
"","San Francisco","30","15-15","162"
"","Arizona","33","25-8","162"
"","Oral Roberts","31","14-17","162"
"289","Binghamton","30","8-22","161"
"290","South Dakota St.","32","25-7","160"
"","Army West Point","32","19-13","160"
"292","Pittsburgh","32","21-11","159"
"293","Jacksonville St.","31","8-23","158"
"","Tennessee Tech","30","19-11","158"
"295","Arkansas St.","31","11-20","157"
"296","Washington St.","31","9-22","156"
"","St. Mary's (CA)","32","27-5","156"
"","Georgia","32","19-13","156"
"","Southern Miss.","29","8-21","156"
"","South Carolina St.","34","19-15","156"
"301","Duquesne","32","16-16","153"
"","Charleston So.","30","9-21","153"
"303","Central Mich.","32","17-15","152"
"","Central Ark.","28","7-21","152"
"305","Western Ky.","34","18-16","151"
"306","Michigan St.","34","29-5","150"
"","South Fla.","33","8-25","150"
"","Brown","28","8-20","150"
"","Harvard","30","14-16","150"
"","DePaul","31","9-22","150"
"","Georgia Tech","33","19-14","150"
"","Davidson","32","20-12","150"
"313","Milwaukee","33","20-13","149"
"","North Carolina St.","33","16-17","149"
"","Montana St.","31","14-17","149"
"316","Cal St. Fullerton","30","10-20","148"
"317","Quinnipiac","30","9-21","146"
"","Penn","28","11-17","146"
"319","Purdue","34","26-8","145"
"320","Texas Southern","32","18-14","143"
"","Bradley","32","5-27","143"
"","UTRGV","30","8-22","143"
"323","Drexel","31","6-25","141"
"324","Saint Francis (PA)","30","13-17","140"
"","Belmont","31","20-11","140"
"326","James Madison","32","21-11","139"
"","San Diego","30","9-21","139"
"328","Vanderbilt","32","19-13","138"
"","SIUE","28","6-22","138"
"","Ohio","32","21-11","138"
"","Marist","30","7-23","138"
"332","UCF","30","12-18","137"
"333","California","33","23-10","136"
"","New Mexico St.","33","23-10","136"
"335","Alcorn","30","15-15","134"
"","Santa Clara","31","11-20","134"
"337","Colorado St.","34","18-16","131"
"338","Central Conn. St.","29","4-25","127"
"","Appalachian St.","31","9-22","127"
"340","Wyoming","31","13-18","126"
"341","Pacific","28","8-20","125"
"342","Northwestern","32","20-12","124"
"343","New Hampshire","31","19-12","123"
"344","Drake","31","7-24","116"
"345","Delaware","30","7-23","108"
"346","George Mason","32","11-21","92"
"NR","Abilene Christian","31","13-18","233"
"NR","UMass Lowell","29","11-18","205"
"NR","Incarnate Word","29","17-12","200"
"NR","Grand Canyon","32","26-6","196"
"NR","Northern Ky.","30","9-21","142"
