"Rank","Name","GM","W-L","Opp TO","TO","Ratio"
"217","Presbyterian","31","11-20","422","441","-0.6"
"","Utah St.","31","16-15","354","373","-0.6"
"219","Dayton","32","25-7","398","418","-0.6"
"220","Bucknell","30","17-13","395","414","-0.6"
"221","Rider","33","13-20","401","422","-0.6"
"222","Northwestern St.","28","8-20","389","407","-0.6"
"223","UC Irvine","34","25-9","395","417","-0.6"
"224","East Carolina","32","12-20","403","424","-0.7"
"","IUPUI","32","13-19","405","426","-0.7"
"","Delaware St.","32","7-25","425","446","-0.7"
"227","UC Davis","30","11-19","407","427","-0.7"
"228","Oral Roberts","31","14-17","352","373","-0.7"
"229","Indiana St.","32","15-17","401","423","-0.7"
"","Saint Louis","32","11-21","414","436","-0.7"
"231","Marquette","33","20-13","462","485","-0.7"
"232","St. John's (NY)","32","8-24","468","491","-0.7"
"233","Fla. Atlantic","33","8-25","378","402","-0.7"
"234","Tennessee Tech","30","19-11","353","375","-0.7"
"235","UTSA","32","5-27","411","435","-0.8"
"236","North Carolina St.","33","16-17","341","366","-0.8"
"237","Southern Utah","29","5-24","358","381","-0.8"
"238","Bowling Green","34","16-18","403","430","-0.8"
"239","Auburn","31","11-20","403","428","-0.8"
"240","Winthrop","32","23-9","377","403","-0.8"
"241","La.-Monroe","33","20-13","380","407","-0.8"
"242","Grambling","30","7-23","405","430","-0.8"
"243","La.-Lafayette","31","17-14","374","400","-0.8"
"244","IPFW","33","24-9","373","401","-0.8"
"245","Yale","28","22-6","350","374","-0.9"
"246","Cleveland St.","32","9-23","431","459","-0.9"
"247","New Hampshire","31","19-12","330","359","-0.9"
"248","Howard","32","12-20","447","477","-0.9"
"249","Gonzaga","33","26-7","341","372","-0.9"
"250","Ohio St.","33","20-13","394","426","-1.0"
"251","Oklahoma St.","32","12-20","369","402","-1.0"
"252","Elon","32","16-16","377","411","-1.1"
"253","Lafayette","30","6-24","359","391","-1.1"
"254","Western Ill.","27","10-17","303","332","-1.1"
"255","San Francisco","30","15-15","345","378","-1.1"
"256","Florida A&M","29","8-21","434","466","-1.1"
"257","Colorado St.","34","18-16","357","395","-1.1"
"258","UC Riverside","33","14-19","396","433","-1.1"
"259","James Madison","32","21-11","344","380","-1.1"
"260","Saint Francis (PA)","30","13-17","345","379","-1.1"
"261","McNeese St.","29","9-20","337","370","-1.1"
"262","Georgia Tech","33","19-14","329","367","-1.2"
