"Rank","Name","GM","W-L","Opp 3FGA","Opp 3FG","Pct"
"173","A&M-Corpus Christi","32","25-7","638","220","34.5"
"174","Bradley","32","5-27","545","188","34.5"
"175","Northwestern","32","20-12","658","227","34.5"
"","High Point","31","21-10","658","227","34.5"
"177","Weber St.","34","26-8","565","195","34.5"
"178","Stetson","34","12-22","727","251","34.5"
"179","Michigan","34","22-12","695","240","34.5"
"180","Florida","33","19-14","608","210","34.5"
"181","Santa Clara","31","11-20","703","243","34.6"
"182","Nicholls St.","34","11-23","642","222","34.6"
"183","Furman","33","18-15","650","225","34.6"
"184","Belmont","31","20-11","667","231","34.6"
"185","Texas St.","31","15-16","560","194","34.6"
"186","Army West Point","32","19-13","551","191","34.7"
"187","Gardner-Webb","33","17-16","692","240","34.7"
"188","South Carolina St.","34","19-15","715","248","34.7"
"189","Savannah St.","31","16-15","565","196","34.7"
"190","Dartmouth","28","10-18","611","212","34.7"
"191","Penn","28","11-17","521","181","34.7"
"192","Bucknell","30","17-13","627","218","34.8"
"193","TCU","33","12-21","647","225","34.8"
"194","Auburn","31","11-20","667","232","34.8"
"","Delaware","30","7-23","851","296","34.8"
"196","Long Beach St.","34","20-14","727","253","34.8"
"197","Georgetown","33","15-18","571","199","34.9"
"198","Loyola Chicago","32","15-17","568","198","34.9"
"199","Virginia","33","26-7","608","212","34.9"
"200","Dayton","32","25-7","671","234","34.9"
"201","Davidson","32","20-12","714","249","34.9"
"202","Eastern Mich.","33","18-15","791","276","34.9"
"203","Clemson","31","17-14","587","205","34.9"
"204","Northwestern St.","28","8-20","581","203","34.9"
"205","Boise St.","32","20-12","669","234","35.0"
"206","LSU","33","19-14","749","262","35.0"
"207","Hofstra","33","24-9","720","252","35.0"
"208","South Carolina","32","24-8","754","264","35.0"
"209","Southeast Mo. St.","29","5-24","665","233","35.0"
"210","The Citadel","32","10-22","645","226","35.0"
"211","Western Mich.","32","13-19","753","264","35.1"
"212","California","33","23-10","513","180","35.1"
"213","Detroit","31","16-15","681","239","35.1"
"214","Oakland","32","21-11","732","257","35.1"
"215","Cal St. Fullerton","30","10-20","677","238","35.2"
"","Omaha","31","18-13","677","238","35.2"
"217","Texas Tech","31","19-12","674","237","35.2"
"218","San Jose St.","31","9-22","600","211","35.2"
"219","Creighton","32","18-14","631","222","35.2"
"220","Arkansas St.","31","11-20","736","259","35.2"
"221","Colorado St.","34","18-16","804","283","35.2"
"222","Wyoming","31","13-18","650","229","35.2"
"223","UMES","32","10-22","661","233","35.2"
"224","Princeton","28","22-6","468","165","35.3"
"225","Tulane","34","12-22","601","212","35.3"
"226","NJIT","31","17-14","753","266","35.3"
"227","Wofford","32","15-17","501","177","35.3"
"228","Arizona St.","32","15-17","634","224","35.3"
"229","George Mason","32","11-21","682","241","35.3"
"230","UCLA","32","15-17","757","268","35.4"
"231","Fairleigh Dickinson","32","18-14","675","239","35.4"
"232","Morehead St.","31","19-12","542","192","35.4"
"233","Navy","33","19-14","711","252","35.4"
"234","Jacksonville","32","16-16","812","288","35.5"
"235","Iona","32","22-10","696","247","35.5"
"236","Troy","31","9-22","665","236","35.5"
"237","Colorado","33","22-11","580","206","35.5"
"238","Ole Miss","32","20-12","701","249","35.5"
"239","Fla. Atlantic","33","8-25","484","172","35.5"
